school-eng	address	address-match
129165		
117345	2X6MXMC2;2X6MXMC2	
117644	9B1AJMG	
117114	5T8GM5Z2	
117362	5T8JHCD2	byhand
117331	2X6MXNSX	
117273	9B09V9Y	byhand
117244	9B09V9Y	byhand
130160	9B09V9Y	
137351	9B09V9Y	
117182	9B1AHM6	
117373	9AE03NR	byhand
117372	9AE03NR	byhand
132118	9AE03NR	byhand
133488	9AE9CV8	byhand
117260	2X6MVB3M	byhand
117178	2X6MYKRX	
117134	2X6MXNAM	
117174	5T8JHBRH	
117078	2X6MTG52	
117457	2X6MTFVR	byhand
117449	5T8JAEJ1	byhand
117602	9B1AK1W	byhand
117552	2X6MV56T	
129166		
117632	2X6MX9XX	
117577	2X6MTK6F	
117529	4D5AAK;4D59W3	
136396	4D5AAK;4D59W3	
135938	9B1AJXE	byhand
117528	2X6MTSE5	
117551	2X6MXAD9	
137090	2X6MXAD9	
127633	9C3H328	byhand
117672	2X6MTS3N	
117307	4D5MF5	
143410	4D5MF5	
139902	2X6MXKNA	byhand
138225	9C3QSD8	byhand
129126	5T8JHCD2	byhand
117688	9AQQR2W	byhand
139416	9AE09FM	byhand
117291	2X6MTKCB	byhand
117316	9C3QP5S	byhand
117542	2X6MXNC1	
137658	2X6MXNC1	
138507	9A95Y4M	byhand
117281	2X6MTF03	
117258	2X6MTEXS	
117282	5T8JQEQF	byhand
117517	2X6MXG43	byhand
117500	5T8JQ7X5	
117592	2X6MZTDB	byhand
140786	2X6MZTDB	byhand
117537	9A2N733;2X6MXKNB	
117510	9B1AHNG	
117481	5T8HFFSD	byhand
117675		byhand
117585	9C3QMQ7	byhand
137895	9C3QMQ7	byhand
117597	4D5J74	
136607	4D5J74	
117650	5T8JAREK	
117509	2X6MXN06	
136608	2X6MXN06	
117327	5T8JAMXC	byhand
117588	2X6MTJCP	
117364	2X6MX9R5	
130356	5T8JAGKZ	byhand
138042	2X6MT9S6	byhand
129159	5T8JAHHX	byhand
129163	2X6MS6GV	byhand
117530	9C3QPF9	byhand
117155	2X6MYG70	
130348	9B1AK5M	byhand
117375	2X6MXBM9	byhand
117499	9C3H7F5	
139662	9CQACQQ	byhand
117234	2X6MVA2V	byhand
117098	5T8FR999	
117313	5T8JHC95	byhand
117535	2X6MXCRP	
138484	2X6MXCRP	
117550	9C3QN4X	byhand
140037	9C3QN4X	byhand
117559	5T8JQHHF	byhand
117669	5T8FDH0D	byhand
141004	9CPSCN0	byhand
129160	2X6MXKK5	byhand
117566	9B1AJKR;9B1AJKR	
138215	9B1AJKR;9B1AJKR	
117153	2X6MXNSQ	
129157		
129169	2X6MVBCY	byhand
117230	2X6MTKB4	byhand
117277	2X6MTM1G	
117213	2X6MTH0X	byhand
117408	2X6MXADA	byhand
117388	2X6MXAD5	byhand
117275	9B09WW3	byhand
117555	5T8JAHPF	byhand
117618	5T8JQE17	byhand
117553	2X6MV863	
138352	2X6MV863	
117292	9C3QNTR	byhand
117109	2X6MVAE8	
117531	4D547M	byhand
117108	2X6MV9Y3	
133783	2X6MTBJ3	byhand
117505	5T8FVP7Q	
137038	5T8FVP7Q	
117423	5T8JQ7K1	byhand
134786	9A2N6TH	
117154	2X6MXFT3	byhand
117081	9B1AK8C	byhand
117412	9B09XT0	byhand
117659	2X6ME1FT	byhand
117169	5T8FR6C3	
117348	2X6MTGVX	byhand
117161	5T8FR161	byhand
117573	5T8FR167	byhand
136276	5T8FR167	byhand
117575	5T8FR333	byhand
136289	5T8FR333	byhand
142221	2X6MKQRD	byhand
117683	2X6MT9W3	
117171	9B09WXE	byhand
129145	2X6MX9R5	byhand
129143	2X6MX9R5	byhand
117490	2X6MTG51	byhand
130720	5T8FR0G2	byhand
117610	5T8FVQ4M	byhand
117124	9C3H9JV	byhand
140049	2X6MYE5R	byhand
117270	4D5C6Q	
117532	2X6MYE5R	byhand
117254	5T8JQF0C	byhand
129148		
117413	9C3H8X2	
117065	2X6MXMZY	
117625	9B1AK06	byhand
117328	2X6MXBM8	byhand
117268	9AQQQ70	
117212	5T8JAQYW	byhand
129164	2X6MTEGK	byhand
117253	2X6MXHN9	
117176	9B09WXS	
117121	2X6MXM4C	byhand
117314	5T8GM5Z0	
140611	9C3H8GG	byhand
117116	9C3H8GG	
117217	2X6MTAYM	
141851	2X6MTKCB	byhand
134682	2X6MTKCB	byhand
129138	2X6MTFBZ	byhand
129130	2X6MTFBZ	byhand
117358	2X6MTFBZ	
117682	2X6MV9YK	
117194	5T8FR714	byhand
117181	9B1AJ1Y	
117321	4D4KHF	
117323	5T8FDH83	
117322	9C3QMJX	
117689	2X6MXKK6	
137997	2X6MXKK6	byhand
135560	9AQK0HS	byhand
117400	4D59VX	byhand
117177	2X6MXGZ4	
134985	9AE03VX	byhand
136922	9AE03VX	byhand
142862	9B1AHNG	byhand
135222	5T8JQF4Y	
117636	2X6MYJ7Z	byhand
117071	2X6MXJA5	
117130	5T8FRBSD	byhand
