school-eng	address	address-match
117658	9B1AHEB	
117659	2X6ME1FT	byhand
117660	5T8FRBHC	
117661	5T8FNG55	byhand
117662	9B1AJXV	
117663	9B09QVD	byhand
117664	2X6MZT45	
117665	9B09NGR	byhand
117666	5T8JHA3Z	
117667	5T8FR09X	
117668	9A2N551	byhand
117669	5T8FDH0D	byhand
117670	2X6MYD37	
117671	2X6MTDT8	
117672	2X6MTS3N	
117673	4D5CKW	
117674	2X6MTDG1	
117675		byhand
117676	2X6MXBAD	
117677	9AE059D	
117678	5T8FDGKZ	byhand
117679	9C3QRXM	byhand
117680	2X6MTHMB	
117681	2X6MYKRW	
117682	2X6MV9YK	
117683	2X6MT9W3	
117684	9B1N31S	
117685	2X6MTDHE	
117686	9B1AJXG	
117687	5T8FDH08	
117688	9AQQR2W	byhand
117689	2X6MXKK6	
117690	9C3QNZ4	byhand
117691	9AE04RC	
127416	9A95YCZ	
127633	9C3H328	byhand
129109	9B09WJ3	byhand
129110	4D4WFP	byhand
129111	2X6MVAE9	byhand
129112	9B09KZQ	byhand
129113	5T8JAMHS	byhand
129114	2X6MYGZE	byhand
129115	2X6MVA3W	byhand
129116	5T8GM4PH	
129117	2X6MVA3W	byhand
129118	9APR87M	byhand
129119	4D4MDG	byhand
129120		byhand
129121	5T8JHCC6	
129122	5T8JQF4Y	byhand
129123	5T8FR15X	byhand
129124		byhand
129125	5T8JHCD0	byhand
129126	5T8JHCD2	byhand
129127	5T8JQF4Y	byhand
129128	5T8FR15X	
129129	4D4MDG	byhand
129130	2X6MTFBZ	byhand
129131	2X6MXBPQ	byhand
129132	9B09W62	byhand
129133	4D5TD3	
129134	4D5MF5	byhand
129135		byhand
129136	4D5MF5	byhand
129137	2X6MYGZE	byhand
129138	2X6MTFBZ	byhand
129139	5T8FR3MT	byhand
129140	2X6MV58T	
129141	4D59VX	byhand
129142	2X6MV5B0	byhand
129143	2X6MX9R5	byhand
129144	2X6MV8D9	byhand
129145	2X6MX9R5	byhand
129146	4D59VX	byhand
129147		byhand
129148		
129149		byhand
129150		byhand
129151		byhand
129152	9B1RC7K	byhand
129153		byhand
129154		byhand
129155		byhand
129156	5T8JHCG0	
129157		
129158		byhand
129159	5T8JAHHX	byhand
129160	2X6MXKK5	byhand
129161	2X6MTAPX	
129162	9A2N789	byhand
129163	2X6MS6GV	byhand
129164	2X6MTEGK	byhand
129165		
129166		
129167		byhand
129168		byhand
129169	2X6MVBCY	byhand
129170	9B1AJW2	byhand
129171	2X6N02M5	byhand
129172	5T8JHE7M	byhand
129173	9B1AJW2	byhand
129174	2X6MDBK5	byhand
129176	9AEAAJW	byhand
129177	2X6N040E	byhand
129178	4D5TCX	byhand
129179		byhand
